"ACCOUNT_KEY","TYPE","LOCATION","PAYMENT"
9000081104,"Customer","Italy -> South East Europe -> South",345
9000004532,"Customer","Italy -> South East Europe -> South",345
9000136434,"Customer","France -> France International -> West",345
9000067440,"Customer","Italy -> South East Europe -> South",345
9000150975,"Customer","Netherlands -> Netherlands -> North",161
9000036871,"Customer","Germany -> Central Europe -> East",161
9000148377,"Customer","Italy -> South East Europe -> South",57.5
9000169497,"Customer","France -> France International -> West",345
9000142599,"Customer","Germany -> Central Europe -> East",57.5
9000017991,"Customer","Poland -> Eastern Europe -> East",241.5
9000149165,"Customer","France -> France International -> West",517.5
9000059328,"Customer","Belgium -> BeLux -> North",57.5
9000159008,"Customer","France -> France International -> West",345
9000150675,"Customer","Romania -> Eastern Europe -> East",241.5
9000077423,"Customer","France -> France International -> West",57.5
9000097159,"Customer","Netherlands -> Netherlands -> North",322
9000196630,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000198143,"Customer","France -> France International -> West",517.5
9000048231,"Customer","Netherlands -> Netherlands -> North",322
9000134547,"Customer","Germany -> Central Europe -> East",161
9000081864,"Customer","Germany -> Central Europe -> East",57.5
9000029497,"Customer","Poland -> Eastern Europe -> East",57.5
9000112196,"Customer","Germany -> Central Europe -> East",57.5
9000042271,"Customer","Romania -> Eastern Europe -> East",241.5
9000136417,"Customer","Germany -> Central Europe -> East",161
9000077761,"Customer","Poland -> Eastern Europe -> East",57.5
9000082669,"Customer","Lithuania -> Eastern Europe -> East",241.5
9000211400,"Customer","Belgium -> BeLux -> North",57.5
9000036993,"Customer","Germany -> Central Europe -> East",161
9000044360,"Customer","Netherlands -> Netherlands -> North",57.5
9000098141,"Customer","Romania -> Eastern Europe -> East",241.5
9000045066,"Customer","Romania -> Eastern Europe -> East",57.5
9000190800,"Customer","Austria -> Central Europe -> East",161
9000116169,"Customer","Netherlands -> Netherlands -> North",322
9000074065,"Customer","United Kingdom -> Great Britain -> North",345
9000003609,"Customer","Austria -> Central Europe -> East",161
9000009815,"Customer","Bulgaria -> Eastern Europe -> East",57.5
9000132628,"Customer","Germany -> Central Europe -> East",161
9000055888,"Customer","Czech Republic -> Eastern Europe -> East",241.5
9000078267,"Customer","Netherlands -> Netherlands -> North",57.5
9000171636,"Customer","Italy -> South East Europe -> South",345
9000085172,"Customer","Italy -> South East Europe -> South",345
9000077212,"Customer","Poland -> Eastern Europe -> East",57.5
9000120382,"Customer","Hungary -> Eastern Europe -> East",241.5
9000201470,"Customer","Germany -> Central Europe -> East",57.5
9000182954,"Customer","Ireland -> Great Britain -> North",345
9000008813,"Customer","Hungary -> Eastern Europe -> East",241.5
9000138271,"Customer","France -> France International -> West",517.5
9000080165,"Customer","Romania -> Eastern Europe -> East",57.5
9000110274,"Customer","Germany -> Central Europe -> East",161
9000216642,"Customer","Netherlands -> Netherlands -> North",322
9000051457,"Customer","France -> France International -> West",345
9000146565,"Customer","Netherlands -> Netherlands -> North",57.5
9000201799,"Customer","Slovakia -> Eastern Europe -> East",241.5
9000132230,"Customer","France -> France International -> West",345
9000024363,"Customer","Germany -> Central Europe -> East",161
9000058501,"Customer","United Kingdom -> Great Britain -> North",57.5
9000134056,"Customer","France -> France International -> West",517.5
9000011451,"Customer","France -> France International -> West",517.5
9000203495,"Customer","Germany -> Central Europe -> East",161
9000019909,"Customer","",345
9000029381,"Customer","United Kingdom -> Great Britain -> North",57.5
9000217326,"Customer","Poland -> Eastern Europe -> East",241.5
9000041330,"Customer","Germany -> Central Europe -> East",161
9000194483,"Customer","Hungary -> Eastern Europe -> East",57.5
9000167229,"Customer","Denmark -> Nordics -> North",161
9000214371,"Customer","France -> France International -> West",517.5
9000161503,"Customer","Spain -> Teleroute Iberica -> South",345
9000196095,"Customer","Germany -> Central Europe -> East",161
9000094445,"Customer","France -> France International -> West",345
9000154428,"Customer","Germany -> Central Europe -> East",57.5
9000073560,"Customer","France -> France International -> West",345
9000105204,"Customer","Italy -> South East Europe -> South",172.5
9000002357,"Customer","France -> France International -> West",517.5
9000131194,"Customer","Germany -> Central Europe -> East",57.5
9000197173,"Customer","Netherlands -> Netherlands -> North",161
9000135189,"Customer","France -> France International -> West",345
9000173113,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000042636,"Customer","Germany -> Central Europe -> East",161
9000037156,"Customer","France -> France International -> West",517.5
9000148395,"Customer","Netherlands -> Netherlands -> North",57.5
9000096328,"Customer","Germany -> Central Europe -> East",161
9000027976,"Customer","Poland -> Eastern Europe -> East",241.5
9000027154,"Customer","Germany -> Central Europe -> East",161
9000156219,"Customer","Netherlands -> Netherlands -> North",161
9000172511,"Customer","Germany -> Central Europe -> East",161
9000030498,"Customer","Netherlands -> Netherlands -> North",161
9000083532,"Customer","Netherlands -> Netherlands -> North",57.5
9000134232,"Customer","Germany -> Central Europe -> East",57.5
9000175599,"Customer","Netherlands -> Netherlands -> North",57.5
9000029315,"Customer","France -> France International -> West",345
9000157894,"Customer","Belgium -> BeLux -> North",57.5
9000157031,"Customer","Turkey -> Eastern Europe -> East",57.5
9000160614,"Customer","Austria -> Central Europe -> East",161
9000098672,"Customer","Germany -> Central Europe -> East",161
9000139555,"Customer","Hungary -> Eastern Europe -> East",241.5
9000173320,"Customer","Romania -> Eastern Europe -> East",57.5
9000085213,"Customer","Portugal -> Teleroute Iberica -> South",57.5
9000207019,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000108212,"Customer","Bulgaria -> Eastern Europe -> East",57.5
9000027912,"Customer","Germany -> Central Europe -> East",161
9000136592,"Customer","Germany -> Central Europe -> East",57.5
9000168747,"Customer","Poland -> Eastern Europe -> East",241.5
9000168058,"Customer","France -> France International -> West",57.5
9000182798,"Customer","Hungary -> Eastern Europe -> East",241.5
9000133686,"Customer","Belgium -> BeLux -> North",57.5
9000069817,"Customer","Netherlands -> Netherlands -> North",57.5
9000169070,"Customer","Switzerland DE -> Central Europe -> East",57.5
9000018333,"Customer","Germany -> Central Europe -> East",161
